,Time Series Workbook,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,"6202.0 Labour Force, Australia",,,,,,,,,,,
,"Table 010. Labour force status by Sex, State and Territory - Trend, Seasonally adjusted and Original",,,,,,,,,,,
,,,,,,,,,,,,
,,,Enquiries,,,,,,,,,
,,,,,,,,,,,,
Data Item Description,,,Series Type,Series ID,Series Start,Series End,No. Obs.,Unit,Data Type,Freq.,Collection Month,
,,,,,,,,,,,,
Employed total ;  > Females ;  > New South Wales ;,,,Original,A84423713C,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Females ;  > Victoria ;,,,Trend,A84424133A,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Females ;  > Victoria ;,,,Seasonally Adjusted,A84423461V,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Females ;  > Victoria ;,,,Original,A84423797X,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Females ;  > Queensland ;,,,Trend,A84424063F,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Females ;  > Queensland ;,,,Seasonally Adjusted,A84423391X,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Females ;  > Queensland ;,,,Original,A84423727T,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Females ;  > South Australia ;,,,Trend,A84424147R,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Females ;  > South Australia ;,,,Seasonally Adjusted,A84423475J,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Females ;  > South Australia ;,,,Original,A84423811J,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Females ;  > Western Australia ;,,,Trend,A84424105T,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Females ;  > Western Australia ;,,,Seasonally Adjusted,A84423433K,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Females ;  > Western Australia ;,,,Original,A84423769R,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Females ;  > Tasmania ;,,,Trend,A84424077V,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Females ;  > Tasmania ;,,,Seasonally Adjusted,A84423405A,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Females ;  > Tasmania ;,,,Original,A84423741L,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Females ;  > Northern Territory ;,,,Trend,A84424119F,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Females ;  > Northern Territory ;,,,Original,A84423783K,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Females ;  > Australian Capital Territory ;,,,Trend,A84424091R,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Females ;  > Australian Capital Territory ;,,,Original,A84423755A,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  Persons ;  Australia ;,,,Trend,A84423125J,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  Persons ;  Australia ;,,,Seasonally Adjusted,A84423041X,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  Persons ;  Australia ;,,,Original,A84423083W,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  Persons ;  > New South Wales ;,,,Trend,A84423945R,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  Persons ;  > New South Wales ;,,,Seasonally Adjusted,A84423273K,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
